alternation	label	sentence	pred_label
there	1.0	a fire blazed in the fireplace .	1
there	1.0	there blazed in the fireplace a fire .	1
there	1.0	a fire blazed in the oven .	1
there	1.0	there blazed in the oven a fire .	1
there	1.0	a fire blazed on the stove .	1
there	1.0	there blazed on the stove a fire .	1
there	1.0	a coal blazed in the fireplace .	1
there	1.0	there blazed in the fireplace a coal .	1
there	1.0	a coal blazed in the oven .	1
there	1.0	there blazed in the oven a coal .	1
there	1.0	a coal blazed on the stove .	1
there	1.0	there blazed on the stove a coal .	1
there	1.0	a log blazed in the fireplace .	1
there	1.0	there blazed in the fireplace a log .	1
there	1.0	a log blazed in the oven .	1
there	1.0	there blazed in the oven a log .	1
there	1.0	a log blazed on the stove .	1
there	1.0	there blazed on the stove a log .	1
there	1.0	a fire burned in the fireplace .	1
there	1.0	there burned in the fireplace a fire .	1
there	1.0	a fire burned in the oven .	1
there	1.0	there burned in the oven a fire .	1
there	1.0	a fire burned on the stove .	1
there	1.0	there burned on the stove a fire .	1
there	1.0	a coal burned in the fireplace .	1
there	1.0	there burned in the fireplace a coal .	1
there	1.0	a coal burned in the oven .	1
there	1.0	there burned in the oven a coal .	1
there	1.0	a coal burned on the stove .	1
there	1.0	there burned on the stove a coal .	1
there	1.0	a log burned in the fireplace .	1
there	1.0	there burned in the fireplace a log .	1
there	1.0	a log burned in the oven .	1
there	1.0	there burned in the oven a log .	1
there	1.0	a log burned on the stove .	1
there	1.0	there burned on the stove a log .	1
there	1.0	a fire crackled in the fireplace .	1
there	1.0	there crackled in the fireplace a fire .	1
there	1.0	a fire crackled in the oven .	1
there	1.0	there crackled in the oven a fire .	1
there	1.0	a fire crackled on the stove .	1
there	1.0	there crackled on the stove a fire .	1
there	1.0	a coal crackled in the fireplace .	1
there	1.0	there crackled in the fireplace a coal .	1
there	1.0	a coal crackled in the oven .	1
there	1.0	there crackled in the oven a coal .	1
there	1.0	a coal crackled on the stove .	1
there	1.0	there crackled on the stove a coal .	1
there	1.0	a log crackled in the fireplace .	1
there	1.0	there crackled in the fireplace a log .	1
there	1.0	a log crackled in the oven .	1
