alternation	label	sentence	pred_label
u_obj	1.0	michael blinked his eyes .	1
u_obj	1.0	michael blinked .	0
u_obj	1.0	kelly squinted her eyes .	1
u_obj	1.0	kelly squinted .	0
u_obj	1.0	david winked his eyes .	1
u_obj	1.0	david winked .	1
u_obj	1.0	elizabeth clapped her hands .	1
u_obj	1.0	elizabeth clapped .	1
u_obj	1.0	michael waved his hands .	1
u_obj	1.0	michael waved .	0
u_obj	1.0	jessica flexed her muscles .	1
u_obj	1.0	jessica flexed .	0
u_obj	1.0	jessica brushed her teeth .	1
u_obj	1.0	jessica brushed .	0
u_obj	1.0	kelly brushed her molars .	1
u_obj	1.0	kelly brushed .	0
u_obj	1.0	david flossed his teeth .	1
u_obj	1.0	david flossed .	1
u_obj	1.0	elizabeth flossed her molars .	1
u_obj	1.0	elizabeth flossed .	1
u_obj	1.0	michael crossed his eyes .	1
u_obj	0.0	michael crossed .	0
u_obj	1.0	david rolled his eyes .	1
u_obj	0.0	david rolled .	0
u_obj	1.0	james rubbed his eyes .	1
u_obj	0.0	james rubbed .	0
u_obj	1.0	rebecca opened her eyes .	1
u_obj	0.0	rebecca opened .	0
u_obj	1.0	rebecca shuffled her feet .	1
u_obj	0.0	rebecca shuffled .	0
u_obj	1.0	kelly trimmed her beard .	1
u_obj	0.0	kelly trimmed .	0
u_obj	1.0	kelly trimmed her bangs .	1
u_obj	0.0	kelly trimmed .	0
u_obj	1.0	michael arched his neck .	1
u_obj	0.0	michael arched .	0
u_obj	1.0	michael craned his neck .	1
u_obj	0.0	michael craned .	0
u_obj	1.0	jessica flexed her neck .	1
u_obj	0.0	jessica flexed .	0
u_obj	1.0	rebecca rubbed her neck .	1
u_obj	0.0	rebecca rubbed .	0
u_obj	1.0	michael crooked his finger .	1
u_obj	0.0	michael crooked .	0
u_obj	1.0	elizabeth wagged her finger .	1
u_obj	0.0	elizabeth wagged .	0
u_obj	1.0	james rubbed his finger .	1
u_obj	0.0	james rubbed .	0
u_obj	1.0	jason hung his head .	1
u_obj	0.0	jason hung .	0
u_obj	1.0	rebecca raised her head .	1
u_obj	0.0	rebecca raised .	0
u_obj	1.0	nicole rubbed her head .	1
u_obj	0.0	nicole rubbed .	0
u_obj	1.0	elizabeth shook her head .	1
u_obj	0.0	elizabeth shook .	0
u_obj	1.0	kelly cocked her head .	1
u_obj	0.0	kelly cocked .	0
u_obj	1.0	rebecca twitched her ears .	1
u_obj	0.0	rebecca twitched .	0
u_obj	1.0	elizabeth twitched her wings .	1
u_obj	0.0	elizabeth twitched .	0
u_obj	1.0	james wiggled his ears .	1
u_obj	0.0	james wiggled .	0
u_obj	1.0	rebecca wiggled her wings .	1
u_obj	0.0	rebecca wiggled .	0
u_obj	1.0	kelly raised her eyebrows .	1
u_obj	0.0	kelly raised .	0
u_obj	1.0	christopher clicked his heels .	1
u_obj	0.0	christopher clicked .	0
u_obj	1.0	michael clicked his tongue .	1
u_obj	0.0	michael clicked .	0
u_obj	1.0	nicole bobbed her hair .	1
u_obj	0.0	nicole bobbed .	0
u_obj	1.0	james braided his hair .	1
u_obj	0.0	james braided .	1
u_obj	1.0	elizabeth combed her hair .	1
u_obj	0.0	elizabeth combed .	0
u_obj	1.0	elizabeth conditioned her hair .	1
u_obj	0.0	elizabeth conditioned .	0
u_obj	1.0	jason crimped his hair .	1
u_obj	0.0	jason crimped .	0
u_obj	1.0	elizabeth cropped her hair .	1
u_obj	0.0	elizabeth cropped .	0
u_obj	1.0	elizabeth curled her hair .	1
u_obj	0.0	elizabeth curled .	0
u_obj	1.0	elizabeth cut her hair .	1
u_obj	0.0	elizabeth cut .	0
u_obj	1.0	kelly dyed her hair .	1
u_obj	0.0	kelly dyed .	0
u_obj	1.0	christopher lathered his hair .	1
u_obj	0.0	christopher lathered .	0
u_obj	1.0	jason permed his hair .	1
u_obj	0.0	jason permed .	0
u_obj	1.0	christopher plaited his hair .	1
u_obj	0.0	christopher plaited .	0
u_obj	1.0	james rinsed his hair .	1
u_obj	0.0	james rinsed .	0
u_obj	1.0	christopher set his hair .	0
u_obj	0.0	christopher set .	0
u_obj	1.0	jason waved his hair .	1
u_obj	0.0	jason waved .	0
u_obj	1.0	nicole plucked her hair .	1
u_obj	0.0	nicole plucked .	0
u_obj	1.0	rebecca manicured her nails .	1
u_obj	0.0	rebecca manicured .	0
u_obj	1.0	kelly manicured her toenails .	1
u_obj	0.0	kelly manicured .	0
u_obj	1.0	jason trimmed his nails .	1
u_obj	0.0	jason trimmed .	0
u_obj	1.0	jessica trimmed her toenails .	1
u_obj	0.0	jessica trimmed .	0
u_obj	1.0	kelly filed her nails .	1
u_obj	0.0	kelly filed .	0
u_obj	1.0	nicole filed her toenails .	1
u_obj	0.0	nicole filed .	0
u_obj	1.0	elizabeth coldcreamed her face .	1
u_obj	0.0	elizabeth coldcreamed .	0
u_obj	1.0	nicole coldcreamed her cheeks .	1
u_obj	0.0	nicole coldcreamed .	0
u_obj	1.0	nicole powdered her face .	1
u_obj	0.0	nicole powdered .	1
u_obj	1.0	christopher powdered his cheeks .	1
u_obj	0.0	christopher powdered .	0
u_obj	1.0	jason rinsed his face .	1
u_obj	0.0	jason rinsed .	1
u_obj	1.0	james rinsed his cheeks .	1
u_obj	0.0	james rinsed .	0
u_obj	1.0	christopher rouged his face .	1
u_obj	0.0	christopher rouged .	0
u_obj	1.0	james rouged his cheeks .	1
u_obj	0.0	james rouged .	0
u_obj	1.0	rebecca bumped her hand .	1
u_obj	0.0	rebecca bumped .	0
u_obj	1.0	christopher bumped his foot .	1
u_obj	0.0	christopher bumped .	0
u_obj	1.0	michael bumped his leg .	1
u_obj	0.0	michael bumped .	0
u_obj	1.0	david bumped his arm .	1
u_obj	0.0	david bumped .	0
u_obj	1.0	david bumped his shoulder .	1
u_obj	0.0	david bumped .	0
u_obj	1.0	jessica bumped her finger .	1
u_obj	0.0	jessica bumped .	0
u_obj	1.0	james broke his hand .	1
u_obj	0.0	james broke .	0
u_obj	1.0	jason broke his foot .	1
u_obj	0.0	jason broke .	0
u_obj	1.0	kelly broke her leg .	1
u_obj	0.0	kelly broke .	0
