alternation	label	sentence	pred_label
dat	1.0	michael passed the salt to the person across the table .	1
dat	1.0	michael passed the person across the table the salt .	1
dat	1.0	christopher passed a letter to the person across the table .	1
dat	1.0	christopher passed the person across the table a letter .	1
dat	1.0	christopher sent the salt to the lawyer .	1
dat	1.0	christopher sent the lawyer the salt .	1
dat	1.0	michael sent a letter to the lawyer .	1
dat	1.0	michael sent the lawyer a letter .	1
dat	1.0	nicole assigned a project to the employee .	1
dat	1.0	nicole assigned the employee a project .	1
dat	1.0	elizabeth assigned a gold star to the student .	1
dat	1.0	elizabeth assigned the student a gold star .	1
dat	1.0	jessica assigned a task to the employee .	1
dat	1.0	jessica assigned the employee a task .	1
dat	1.0	michael awarded a project to the employee .	1
dat	1.0	michael awarded the employee a project .	1
dat	1.0	jessica awarded a gold star to the employee .	1
dat	1.0	jessica awarded the employee a gold star .	1
dat	1.0	michael awarded a task to the employee .	1
dat	1.0	michael awarded the employee a task .	1
dat	1.0	jason shipped a letter to the client .	1
dat	1.0	jason shipped the client a letter .	1
dat	1.0	jason shipped a package to the client .	1
dat	1.0	jason shipped the client a package .	1
dat	1.0	michael posted a letter to the recipient .	1
dat	1.0	michael posted the recipient a letter .	1
dat	1.0	christopher posted a package to the client .	1
dat	1.0	christopher posted the client a package .	1
dat	1.0	nicole chucked the ball to the other team .	1
dat	1.0	nicole chucked the other team the ball .	1
dat	1.0	christopher chucked the stick to the most valuable player .	1
dat	1.0	christopher chucked the most valuable player the stick .	1
dat	1.0	michael chucked the frisbee to the other team .	1
dat	1.0	michael chucked the other team the frisbee .	1
dat	1.0	elizabeth flung the ball to the goalie .	1
dat	1.0	elizabeth flung the goalie the ball .	1
dat	1.0	nicole flung the stick to the other team .	1
dat	1.0	nicole flung the other team the stick .	1
dat	1.0	christopher flung the frisbee to the goalie .	1
dat	1.0	christopher flung the goalie the frisbee .	1
dat	1.0	michael tossed the ball to the other team .	1
dat	1.0	michael tossed the other team the ball .	1
dat	1.0	christopher tossed the stick to the other team .	1
dat	1.0	christopher tossed the other team the stick .	1
dat	1.0	michael tossed the frisbee to the other team .	1
dat	1.0	michael tossed the other team the frisbee .	1
dat	1.0	nicole threw the ball to the goalie .	1
dat	1.0	nicole threw the goalie the ball .	1
dat	1.0	christopher threw the stick to the goalie .	1
dat	1.0	christopher threw the goalie the stick .	1
dat	1.0	jessica threw the frisbee to the goalie .	1
dat	1.0	jessica threw the goalie the frisbee .	1
dat	1.0	nicole tossed the ball to the other team .	1
dat	1.0	nicole tossed the other team the ball .	1
dat	1.0	nicole tossed the stick to the most valuable player .	1
dat	1.0	nicole tossed the most valuable player the stick .	1
dat	1.0	jessica tossed the frisbee to the goalie .	1
dat	1.0	jessica tossed the goalie the frisbee .	1
dat	1.0	jason kicked the ball to the most valuable player .	1
dat	1.0	jason kicked the most valuable player the ball .	1
dat	1.0	jason kicked the stick to the goalie .	1
dat	1.0	jason kicked the goalie the stick .	1
dat	1.0	michael kicked the frisbee to the goalie .	1
dat	1.0	michael kicked the goalie the frisbee .	1
dat	1.0	elizabeth read a story to the class .	1
dat	1.0	elizabeth read the class a story .	1
dat	1.0	nicole read a book to the students .	1
dat	1.0	nicole read the students a book .	1
dat	1.0	jason told a secret to the little girl .	1
dat	1.0	jason told the little girl a secret .	1
dat	1.0	jessica told a story to the little girl .	1
dat	1.0	jessica told the little girl a story .	1
dat	1.0	jason taught a new technique to the class .	1
dat	1.0	jason taught the class a new technique .	1
dat	1.0	elizabeth taught a lesson to the class .	1
dat	1.0	elizabeth taught the class a lesson .	1
dat	1.0	jason explained the issue to the mechanic .	1
dat	0.0	jason explained the mechanic the issue .	0
dat	1.0	jessica explained the solution to the client .	1
dat	0.0	jessica explained the client the solution .	0
dat	1.0	elizabeth illustrated the issue to the team .	1
dat	0.0	elizabeth illustrated the team the issue .	0
dat	1.0	nicole illustrated the solution to the team .	1
dat	0.0	nicole illustrated the team the solution .	0
dat	1.0	nicole demonstrated the issue to the client .	1
dat	0.0	nicole demonstrated the client the issue .	0
dat	1.0	elizabeth demonstrated the solution to the mechanic .	1
dat	0.0	elizabeth demonstrated the mechanic the solution .	0
dat	1.0	jason donated a statue to the university .	1
dat	0.0	jason donated the university a statue .	0
dat	1.0	jason donated a hundred dollars to the museum .	1
dat	0.0	jason donated the museum a hundred dollars .	0
dat	1.0	jessica contributed a statue to the university .	1
dat	0.0	jessica contributed the university a statue .	0
dat	1.0	nicole contributed a hundred dollars to the university .	1
dat	0.0	nicole contributed the university a hundred dollars .	0
dat	1.0	jessica delivered the message to the client .	1
dat	0.0	jessica delivered the client the message .	0
dat	1.0	elizabeth delivered the letter to the client .	1
dat	0.0	elizabeth delivered the client the letter .	0
dat	1.0	jessica conveyed the message to the client .	1
dat	0.0	jessica conveyed the client the message .	0
dat	1.0	elizabeth conveyed the letter to the recipient .	1
dat	0.0	elizabeth conveyed the recipient the letter .	0
