alternation	label	sentence	pred_label
u_obj	1.0	michael nodded his head .	1
u_obj	1.0	michael nodded .	1
u_obj	1.0	nicole pointed her fingers .	1
u_obj	1.0	nicole pointed .	1
u_obj	1.0	james shrugged his shoulders .	1
u_obj	1.0	james shrugged .	1
u_obj	1.0	michael shaved his beard .	1
u_obj	1.0	michael shaved .	1
u_obj	1.0	jason shaved his legs .	1
u_obj	1.0	jason shaved .	1
u_obj	1.0	nicole shaved her back .	1
u_obj	1.0	nicole shaved .	1
u_obj	1.0	kelly shaved her face .	1
u_obj	1.0	kelly shaved .	1
u_obj	1.0	elizabeth shaved her armpits .	1
u_obj	1.0	elizabeth shaved .	1
u_obj	1.0	david washed his hands .	1
u_obj	1.0	david washed .	1
u_obj	1.0	jason washed his face .	1
u_obj	1.0	jason washed .	1
u_obj	1.0	jason washed his back .	1
u_obj	1.0	jason washed .	1
u_obj	1.0	jessica washed her legs .	1
u_obj	1.0	jessica washed .	1
u_obj	1.0	michael washed his arms .	1
u_obj	1.0	michael washed .	1
u_obj	1.0	james bared his teeth .	1
u_obj	0.0	james bared .	0
u_obj	1.0	jessica bared her molars .	1
u_obj	0.0	jessica bared .	0
u_obj	1.0	elizabeth bared her incisors .	1
u_obj	0.0	elizabeth bared .	0
u_obj	1.0	rebecca gnashed her teeth .	1
u_obj	0.0	rebecca gnashed .	0
u_obj	1.0	kelly gnashed her molars .	1
u_obj	0.0	kelly gnashed .	0
u_obj	1.0	michael gnashed his incisors .	1
u_obj	0.0	michael gnashed .	0
u_obj	1.0	jason ground his teeth .	1
u_obj	0.0	jason ground .	0
u_obj	1.0	jessica ground her molars .	1
u_obj	0.0	jessica ground .	0
u_obj	1.0	jessica ground her incisors .	1
u_obj	0.0	jessica ground .	0
u_obj	1.0	david flashed his teeth .	1
u_obj	0.0	david flashed .	0
u_obj	1.0	jessica flashed her molars .	1
u_obj	0.0	jessica flashed .	0
u_obj	1.0	rebecca flashed her incisors .	1
u_obj	0.0	rebecca flashed .	0
u_obj	1.0	kelly showed her teeth .	1
u_obj	0.0	kelly showed .	0
u_obj	1.0	james showed his molars .	1
u_obj	0.0	james showed .	0
u_obj	1.0	james showed his incisors .	1
u_obj	0.0	james showed .	0
u_obj	1.0	elizabeth clenched her teeth .	1
u_obj	0.0	elizabeth clenched .	0
u_obj	1.0	jessica clenched her molars .	1
u_obj	0.0	jessica clenched .	0
u_obj	1.0	michael clenched his incisors .	1
u_obj	0.0	michael clenched .	0
u_obj	1.0	rebecca puckered her lips .	1
u_obj	0.0	rebecca puckered .	0
u_obj	1.0	rebecca pursed her lips .	1
u_obj	0.0	rebecca pursed .	0
u_obj	1.0	kelly smacked her lips .	1
u_obj	0.0	kelly smacked .	0
u_obj	1.0	christopher snapped his fingers .	1
u_obj	0.0	christopher snapped .	0
u_obj	1.0	nicole batted her eyelashes .	1
u_obj	0.0	nicole batted .	0
u_obj	1.0	jessica fluttered her eyelashes .	1
u_obj	0.0	jessica fluttered .	0
u_obj	1.0	james twitched his eyelashes .	1
u_obj	0.0	james twitched .	0
u_obj	1.0	nicole wagged her tail .	1
u_obj	0.0	nicole wagged .	0
u_obj	1.0	james blew his nose .	1
u_obj	0.0	james blew .	0
u_obj	1.0	rebecca twitched her nose .	1
u_obj	0.0	rebecca twitched .	0
u_obj	1.0	christopher wiggled his nose .	1
u_obj	0.0	christopher wiggled .	0
u_obj	1.0	david wrinkled his nose .	1
u_obj	0.0	david wrinkled .	0
u_obj	1.0	kelly opened her hands .	1
u_obj	0.0	kelly opened .	0
u_obj	1.0	james raised his hands .	1
u_obj	0.0	james raised .	0
u_obj	1.0	kelly rubbed her hands .	1
u_obj	0.0	kelly rubbed .	0
u_obj	1.0	jessica shook her hands .	1
u_obj	0.0	jessica shook .	0
u_obj	1.0	david wrung his hands .	1
u_obj	0.0	david wrung .	0
u_obj	1.0	david crossed his arms .	1
u_obj	0.0	david crossed .	0
u_obj	1.0	michael crossed his legs .	1
u_obj	0.0	michael crossed .	0
u_obj	1.0	michael flapped his arms .	1
u_obj	0.0	michael flapped .	0
u_obj	1.0	jessica flapped her legs .	1
u_obj	0.0	jessica flapped .	0
u_obj	1.0	michael stretched his arms .	1
u_obj	0.0	michael stretched .	0
u_obj	1.0	kelly stretched her legs .	1
u_obj	0.0	kelly stretched .	0
u_obj	1.0	jessica raised her arms .	1
u_obj	0.0	jessica raised .	0
u_obj	1.0	kelly raised her legs .	1
u_obj	0.0	kelly raised .	0
u_obj	1.0	nicole shook her arms .	1
u_obj	0.0	nicole shook .	0
u_obj	1.0	david shook his legs .	1
u_obj	0.0	david shook .	0
u_obj	1.0	elizabeth folded her arms .	1
