alternation	label	sentence	pred_label
inch	1.0	elizabeth dropped the ball .	1
inch	1.0	the ball dropped .	1
inch	1.0	david dropped the platter .	1
inch	1.0	the platter dropped .	1
inch	1.0	jessica dropped the vase .	1
inch	1.0	the vase dropped .	1
inch	1.0	michael dropped computer .	1
inch	1.0	computer dropped .	0
inch	1.0	david tipped over the ball .	1
inch	1.0	the ball tipped over .	1
inch	1.0	nicole tipped over the platter .	1
inch	1.0	the platter tipped over .	1
inch	1.0	michael tipped over the vase .	1
inch	1.0	the vase tipped over .	1
inch	1.0	rebecca tipped over computer .	1
inch	1.0	computer tipped over .	0
inch	1.0	nicole rolled the ball .	1
inch	1.0	the ball rolled .	1
inch	1.0	jessica rolled the wheel .	1
inch	1.0	the wheel rolled .	1
inch	1.0	rebecca moved the car .	1
inch	1.0	the car moved .	1
inch	1.0	david moved the bicycle .	1
inch	1.0	the bicycle moved .	1
inch	1.0	rebecca moved the truck .	1
inch	1.0	the truck moved .	1
inch	1.0	jessica moved the boat .	1
inch	1.0	the boat moved .	1
inch	1.0	nicole moved the ship .	1
inch	1.0	the ship moved .	1
inch	1.0	michael moved the plane .	1
inch	1.0	the plane moved .	1
inch	1.0	jason moved the cart .	1
inch	1.0	the cart moved .	1
inch	1.0	jason maneuvered the car .	1
inch	1.0	the car maneuvered .	1
inch	1.0	nicole maneuvered the bicycle .	1
inch	1.0	the bicycle maneuvered .	1
inch	1.0	jessica maneuvered the truck .	1
inch	1.0	the truck maneuvered .	1
inch	1.0	elizabeth maneuvered the boat .	1
inch	1.0	the boat maneuvered .	1
inch	1.0	nicole maneuvered the ship .	1
inch	1.0	the ship maneuvered .	1
inch	1.0	nicole maneuvered the plane .	1
inch	1.0	the plane maneuvered .	1
inch	1.0	rebecca maneuvered the cart .	1
inch	1.0	the cart maneuvered .	1
inch	1.0	jessica crashed the car .	1
inch	1.0	the car crashed .	1
inch	1.0	elizabeth crashed the bicycle .	1
inch	1.0	the bicycle crashed .	1
inch	1.0	nicole crashed the truck .	1
inch	1.0	the truck crashed .	1
inch	1.0	jessica crashed the boat .	1
inch	1.0	the boat crashed .	1
inch	1.0	michael crashed the ship .	1
inch	1.0	the ship crashed .	1
inch	1.0	rebecca crashed the plane .	1
inch	1.0	the plane crashed .	1
inch	1.0	james crashed the cart .	1
inch	1.0	the cart crashed .	1
inch	1.0	kelly stopped the car .	1
inch	1.0	the car stopped .	1
inch	1.0	michael stopped the bicycle .	1
inch	1.0	the bicycle stopped .	1
inch	1.0	rebecca stopped the truck .	1
inch	1.0	the truck stopped .	1
inch	1.0	jason stopped the boat .	1
inch	1.0	the boat stopped .	1
inch	1.0	jason stopped the ship .	1
inch	1.0	the ship stopped .	1
inch	1.0	james stopped the plane .	1
inch	1.0	the plane stopped .	1
inch	1.0	michael stopped the cart .	1
inch	1.0	the cart stopped .	1
inch	1.0	david slowed the car .	1
inch	1.0	the car slowed .	1
inch	1.0	jessica slowed the bicycle .	1
inch	1.0	the bicycle slowed .	1
inch	1.0	kelly slowed the truck .	1
inch	1.0	the truck slowed .	1
inch	1.0	jason slowed the boat .	1
inch	1.0	the boat slowed .	1
inch	1.0	christopher slowed the ship .	1
inch	1.0	the ship slowed .	1
inch	1.0	christopher slowed the plane .	1
inch	1.0	the plane slowed .	1
inch	1.0	christopher slowed the cart .	1
inch	1.0	the cart slowed .	1
inch	1.0	nicole accelerated the car .	1
inch	1.0	the car accelerated .	1
inch	1.0	rebecca accelerated the bicycle .	1
inch	1.0	the bicycle accelerated .	1
inch	1.0	james accelerated the truck .	1
inch	1.0	the truck accelerated .	1
inch	1.0	elizabeth accelerated the boat .	1
inch	1.0	the boat accelerated .	1
inch	1.0	elizabeth accelerated the ship .	1
inch	1.0	the ship accelerated .	1
inch	1.0	nicole accelerated the plane .	1
inch	1.0	the plane accelerated .	1
inch	1.0	nicole accelerated the cart .	1
inch	1.0	the cart accelerated .	1
inch	1.0	michael melted the ice .	1
inch	1.0	the ice melted .	1
inch	1.0	christopher melted the chocolate .	1
inch	1.0	the chocolate melted .	1
inch	1.0	michael melted the plastic .	1
inch	1.0	the plastic melted .	1
inch	1.0	michael melted the ice cream .	1
inch	1.0	the ice cream melted .	1
inch	1.0	david melted the popsicle .	1
inch	1.0	the popsicle melted .	1
inch	1.0	kelly bounced the ball .	1
inch	1.0	the ball bounced .	1
inch	1.0	nicole bounced the balloon .	1
inch	1.0	the balloon bounced .	1
inch	1.0	david turned the sculpture .	1
inch	1.0	the sculpture turned .	1
inch	1.0	michael turned the sofa .	1
inch	1.0	the sofa turned .	1
inch	1.0	christopher turned the image .	1
inch	1.0	the image turned .	1
inch	1.0	elizabeth condensed the alcohol .	1
inch	1.0	the alcohol condensed .	1
inch	1.0	david condensed the water .	1
inch	1.0	the water condensed .	1
inch	1.0	rebecca condensed the solution .	1
inch	1.0	the solution condensed .	1
inch	1.0	christopher folded the paper .	1
inch	1.0	the paper folded .	1
inch	1.0	nicole folded the sheet .	1
inch	1.0	the sheet folded .	1
inch	1.0	kelly folded the poster .	1
inch	1.0	the poster folded .	1
inch	1.0	david folded the leaf .	1
inch	1.0	the leaf folded .	1
inch	1.0	kelly folded the foil .	1
inch	1.0	the foil folded .	1
inch	1.0	michael wrinkled the paper .	1
inch	1.0	the paper wrinkled .	1
