alternation	label	sentence	pred_label
spray	1.0	christopher crammed the fruit into the truck .	1
spray	1.0	christopher crammed the truck with the fruit .	1
spray	1.0	david crammed the fruit into the train .	1
spray	1.0	david crammed the train with the fruit .	1
spray	1.0	elizabeth crammed the fruit into the boat .	1
spray	1.0	elizabeth crammed the boat with the fruit .	1
spray	1.0	nicole crammed the fruit into the trunk .	1
spray	1.0	nicole crammed the trunk with the fruit .	1
spray	1.0	michael crammed the fruit into the cabinet .	1
spray	1.0	michael crammed the cabinet with the fruit .	1
spray	1.0	jessica crammed the melons into the truck .	1
spray	1.0	jessica crammed the truck with the melons .	1
spray	1.0	rebecca crammed the melons into the train .	1
spray	1.0	rebecca crammed the train with the melons .	1
spray	1.0	jason crammed the melons into the boat .	1
spray	1.0	jason crammed the boat with the melons .	1
spray	1.0	jessica crammed the melons into the trunk .	1
spray	1.0	jessica crammed the trunk with the melons .	1
spray	1.0	christopher crammed the melons into the cabinet .	1
spray	1.0	christopher crammed the cabinet with the melons .	1
spray	1.0	david crammed the boxes into the truck .	1
spray	1.0	david crammed the truck with the boxes .	1
spray	1.0	elizabeth crammed the boxes into the train .	1
spray	1.0	elizabeth crammed the train with the boxes .	1
spray	1.0	david crammed the boxes into the boat .	1
spray	1.0	david crammed the boat with the boxes .	1
spray	1.0	jessica crammed the boxes into the trunk .	1
spray	1.0	jessica crammed the trunk with the boxes .	1
spray	1.0	nicole crammed the boxes into the cabinet .	1
spray	1.0	nicole crammed the cabinet with the boxes .	1
spray	1.0	david crammed the packages into the truck .	1
spray	1.0	david crammed the truck with the packages .	1
spray	1.0	jessica crammed the packages into the train .	1
spray	1.0	jessica crammed the train with the packages .	1
spray	1.0	nicole crammed the packages into the boat .	1
spray	1.0	nicole crammed the boat with the packages .	1
spray	1.0	christopher crammed the packages into the trunk .	1
spray	1.0	christopher crammed the trunk with the packages .	1
spray	1.0	jessica crammed the packages into the cabinet .	1
spray	1.0	jessica crammed the cabinet with the packages .	1
spray	1.0	kelly crammed the cargo into the truck .	1
spray	1.0	kelly crammed the truck with the cargo .	1
spray	1.0	christopher crammed the cargo into the train .	1
spray	1.0	christopher crammed the train with the cargo .	1
spray	1.0	michael crammed the cargo into the boat .	1
spray	1.0	michael crammed the boat with the cargo .	1
spray	1.0	kelly crammed the cargo into the trunk .	1
spray	1.0	kelly crammed the trunk with the cargo .	1
spray	1.0	michael crammed the cargo into the cabinet .	1
spray	1.0	michael crammed the cabinet with the cargo .	1
spray	1.0	kelly loaded the fruit into the truck .	1
spray	1.0	kelly loaded the truck with the fruit .	1
spray	1.0	jason loaded the fruit into the train .	1
spray	1.0	jason loaded the train with the fruit .	1
spray	1.0	rebecca loaded the fruit into the boat .	1
spray	1.0	rebecca loaded the boat with the fruit .	1
spray	1.0	kelly loaded the fruit into the trunk .	1
spray	1.0	kelly loaded the trunk with the fruit .	1
spray	1.0	michael loaded the fruit into the cabinet .	1
spray	1.0	michael loaded the cabinet with the fruit .	1
spray	1.0	jason loaded the melons into the truck .	1
spray	1.0	jason loaded the truck with the melons .	1
spray	1.0	david loaded the melons into the train .	1
spray	1.0	david loaded the train with the melons .	1
spray	1.0	david loaded the melons into the boat .	1
spray	1.0	david loaded the boat with the melons .	1
spray	1.0	david loaded the melons into the trunk .	1
spray	1.0	david loaded the trunk with the melons .	1
spray	1.0	nicole loaded the melons into the cabinet .	1
spray	1.0	nicole loaded the cabinet with the melons .	1
spray	1.0	jason loaded the boxes into the truck .	1
spray	1.0	jason loaded the truck with the boxes .	1
spray	1.0	david loaded the boxes into the train .	1
spray	1.0	david loaded the train with the boxes .	1
spray	1.0	nicole loaded the boxes into the boat .	1
spray	1.0	nicole loaded the boat with the boxes .	1
spray	1.0	jessica loaded the boxes into the trunk .	1
spray	1.0	jessica loaded the trunk with the boxes .	1
spray	1.0	nicole loaded the boxes into the cabinet .	1
spray	1.0	nicole loaded the cabinet with the boxes .	1
spray	1.0	david loaded the packages into the truck .	1
spray	1.0	david loaded the truck with the packages .	1
spray	1.0	david loaded the packages into the train .	1
spray	1.0	david loaded the train with the packages .	1
spray	1.0	elizabeth loaded the packages into the boat .	1
spray	1.0	elizabeth loaded the boat with the packages .	1
spray	1.0	david loaded the packages into the trunk .	1
spray	1.0	david loaded the trunk with the packages .	1
spray	1.0	nicole loaded the packages into the cabinet .	1
spray	1.0	nicole loaded the cabinet with the packages .	1
spray	1.0	michael loaded the cargo into the truck .	1
spray	1.0	michael loaded the truck with the cargo .	1
spray	1.0	nicole loaded the cargo into the train .	1
spray	1.0	nicole loaded the train with the cargo .	1
spray	1.0	nicole loaded the cargo into the boat .	1
spray	1.0	nicole loaded the boat with the cargo .	1
spray	1.0	rebecca loaded the cargo into the trunk .	1
spray	1.0	rebecca loaded the trunk with the cargo .	1
spray	1.0	nicole loaded the cargo into the cabinet .	1
spray	1.0	nicole loaded the cabinet with the cargo .	0
spray	1.0	jessica injected the medicine into the patient .	1
spray	1.0	jessica injected the patient with the medicine .	1
spray	1.0	jessica splashed paint onto the paper .	1
spray	1.0	jessica splashed the paper with paint .	1
spray	1.0	michael splashed paint onto the painting .	1
spray	1.0	michael splashed the painting with paint .	1
spray	1.0	michael splashed paint onto the letterthe cloth .	1
spray	1.0	michael splashed the letterthe cloth with paint .	1
spray	1.0	nicole splashed water onto the paper .	1
spray	1.0	nicole splashed the paper with water .	1
spray	1.0	elizabeth splashed water onto the painting .	0
spray	1.0	elizabeth splashed the painting with water .	1
spray	1.0	michael splashed water onto the letterthe cloth .	1
spray	1.0	michael splashed the letterthe cloth with water .	1
spray	1.0	jessica splashed perfume onto the paper .	1
spray	1.0	jessica splashed the paper with perfume .	1
