alternation	label	sentence	pred_label
inch	1.0	kelly opened the door .	1
inch	1.0	the door opened .	1
inch	1.0	christopher opened the gate .	1
inch	1.0	the gate opened .	1
inch	1.0	christopher opened the hatch .	1
inch	1.0	the hatch opened .	1
inch	1.0	rebecca opened the lid .	1
inch	1.0	the lid opened .	1
inch	1.0	nicole closed the door .	1
inch	1.0	the door closed .	1
inch	1.0	elizabeth closed the gate .	1
inch	1.0	the gate closed .	1
inch	1.0	jason closed the hatch .	1
inch	1.0	the hatch closed .	1
inch	1.0	jason closed the lid .	1
inch	1.0	the lid closed .	1
inch	1.0	jessica shut the door .	1
inch	1.0	the door shut .	1
inch	1.0	nicole shut the gate .	1
inch	1.0	the gate shut .	1
inch	1.0	christopher shut the hatch .	1
inch	1.0	the hatch shut .	1
inch	1.0	michael shut the lid .	1
inch	1.0	the lid shut .	1
inch	1.0	david flung open the door .	1
inch	1.0	the door flung open .	1
inch	1.0	james flung open the gate .	1
inch	1.0	the gate flung open .	1
inch	1.0	elizabeth flung open the hatch .	1
inch	1.0	the hatch flung open .	1
inch	1.0	david flung open the lid .	1
inch	1.0	the lid flung open .	1
inch	1.0	rebecca broke the vase .	1
inch	1.0	the vase broke .	1
inch	1.0	jessica broke the glass .	1
inch	1.0	the glass broke .	1
inch	1.0	michael broke the bowl .	1
inch	1.0	the bowl broke .	1
inch	1.0	elizabeth broke the platter .	1
inch	1.0	the platter broke .	1
inch	1.0	jessica broke the window .	1
inch	1.0	the window broke .	1
inch	1.0	james broke the screen .	1
inch	1.0	the screen broke .	1
inch	1.0	rebecca shattered the vase .	1
inch	1.0	the vase shattered .	1
inch	1.0	kelly shattered the glass .	1
inch	1.0	the glass shattered .	1
inch	1.0	michael shattered the bowl .	1
inch	1.0	the bowl shattered .	1
inch	1.0	rebecca shattered the platter .	1
inch	1.0	the platter shattered .	1
inch	1.0	jason shattered the window .	1
inch	1.0	the window shattered .	1
inch	1.0	michael shattered the screen .	1
inch	1.0	the screen shattered .	1
inch	1.0	david cracked the vase .	1
inch	1.0	the vase cracked .	1
inch	1.0	david cracked the glass .	1
inch	1.0	the glass cracked .	1
inch	1.0	elizabeth cracked the bowl .	1
inch	1.0	the bowl cracked .	1
inch	1.0	michael cracked the platter .	1
inch	1.0	the platter cracked .	1
inch	1.0	james cracked the window .	1
inch	1.0	the window cracked .	1
inch	1.0	jason cracked the screen .	1
inch	1.0	the screen cracked .	1
inch	1.0	james chipped the vase .	1
inch	1.0	the vase chipped .	1
inch	1.0	elizabeth chipped the glass .	1
inch	1.0	the glass chipped .	1
inch	1.0	rebecca chipped the bowl .	1
inch	1.0	the bowl chipped .	1
inch	1.0	rebecca chipped the platter .	1
inch	1.0	the platter chipped .	1
inch	1.0	christopher chipped the window .	1
inch	1.0	the window chipped .	1
inch	1.0	michael chipped the screen .	1
inch	1.0	the screen chipped .	1
inch	1.0	david popped the bubble .	1
inch	1.0	the bubble popped .	1
inch	1.0	michael popped the balloon .	1
inch	1.0	the balloon popped .	1
inch	1.0	kelly popped the ball .	1
