alternation	label	sentence	pred_label
dat	1.0	jason fed the casserole to the children .	1
dat	1.0	jason fed the children the casserole .	1
dat	1.0	nicole fed the meal to the guests .	1
dat	1.0	nicole fed the guests the meal .	1
dat	1.0	elizabeth served the casserole to the family .	0
dat	1.0	elizabeth served the family the casserole .	0
dat	1.0	christopher served the meal to the family .	1
dat	1.0	christopher served the family the meal .	1
dat	1.0	john gave a gift to the little boy .	1
dat	1.0	john gave the little boy a gift .	1
dat	1.0	john gave a surprise to the family .	0
dat	1.0	john gave the family a surprise .	1
dat	1.0	john gave a puppy to the little boy .	1
dat	1.0	john gave the little boy a puppy .	1
dat	1.0	john gave a book to his wife .	1
dat	1.0	john gave his wife a book .	1
dat	1.0	john gave a plate of food to the little boy .	1
dat	1.0	john gave the little boy a plate of food .	1
dat	1.0	john left a gift to the family .	0
dat	1.0	john left the family a gift .	0
dat	1.0	john left a surprise to the family .	0
dat	1.0	john left the family a surprise .	0
dat	1.0	john left a puppy to the little boy .	1
dat	1.0	john left the little boy a puppy .	1
dat	1.0	john left a book to the little boy .	1
dat	1.0	john left the little boy a book .	1
dat	1.0	john left a plate of food to his wife .	1
dat	1.0	john left his wife a plate of food .	1
dat	1.0	john brought a gift to the family .	0
dat	1.0	john brought the family a gift .	0
dat	1.0	john brought a surprise to his wife .	0
dat	1.0	john brought his wife a surprise .	0
dat	1.0	john brought a puppy to the little boy .	1
dat	1.0	john brought the little boy a puppy .	1
dat	1.0	john brought a book to his wife .	1
dat	1.0	john brought his wife a book .	1
dat	1.0	john brought a plate of food to his wife .	1
dat	1.0	john brought his wife a plate of food .	1
dat	1.0	jason sold a book to the customer .	1
dat	1.0	jason sold the customer a book .	1
dat	1.0	jessica sold a computer to the mother .	1
dat	1.0	jessica sold the mother a computer .	1
dat	1.0	christopher sold a car to the sales clerk .	1
dat	1.0	christopher sold the sales clerk a car .	1
dat	1.0	elizabeth traded a book to the mother .	0
dat	1.0	elizabeth traded the mother a book .	0
dat	1.0	michael traded a computer to the mother .	1
dat	1.0	michael traded the mother a computer .	1
dat	1.0	nicole traded a car to the mother .	0
dat	1.0	nicole traded the mother a car .	0
dat	1.0	christopher peddled a book to the mother .	1
dat	1.0	christopher peddled the mother a book .	1
dat	1.0	jason peddled a computer to the customer .	1
dat	1.0	jason peddled the customer a computer .	1
dat	1.0	christopher peddled a car to the sales clerk .	1
dat	1.0	christopher peddled the sales clerk a car .	1
dat	1.0	jason offered a book to the sales clerk .	1
dat	1.0	jason offered the sales clerk a book .	1
dat	1.0	michael offered a computer to the customer .	1
dat	1.0	michael offered the customer a computer .	1
dat	1.0	christopher offered a car to the sales clerk .	1
dat	1.0	christopher offered the sales clerk a car .	1
dat	1.0	michael rented a car to the tenant .	1
dat	1.0	michael rented the tenant a car .	1
dat	1.0	jessica rented an apartment to the tenant .	1
dat	1.0	jessica rented the tenant an apartment .	1
dat	1.0	elizabeth loaned a car to the defendant .	1
dat	1.0	elizabeth loaned the defendant a car .	1
dat	1.0	jessica loaned an apartment to the defendant .	1
dat	1.0	jessica loaned the defendant an apartment .	1
dat	1.0	jason allotted a plot of land to the children .	1
dat	1.0	jason allotted the children a plot of land .	1
dat	1.0	jessica allotted the property to the family lawer .	0
dat	1.0	jessica allotted the family lawer the property .	0
dat	1.0	elizabeth allotted the art collection to the client .	0
dat	1.0	elizabeth allotted the client the art collection .	0
dat	1.0	christopher allotted the mansion to the family lawer .	0
dat	1.0	christopher allotted the family lawer the mansion .	0
dat	1.0	nicole bequeathed a plot of land to the children .	0
dat	1.0	nicole bequeathed the children a plot of land .	1
dat	1.0	jessica bequeathed the property to the children .	1
dat	1.0	jessica bequeathed the children the property .	0
dat	1.0	nicole bequeathed the art collection to the client .	0
dat	1.0	nicole bequeathed the client the art collection .	0
dat	1.0	jessica bequeathed the mansion to the family lawer .	0
dat	1.0	jessica bequeathed the family lawer the mansion .	0
dat	1.0	michael ceded a plot of land to the children .	1
dat	1.0	michael ceded the children a plot of land .	1
dat	1.0	elizabeth ceded the property to the children .	1
dat	1.0	elizabeth ceded the children the property .	1
dat	1.0	christopher ceded the art collection to the client .	1
dat	1.0	christopher ceded the client the art collection .	0
dat	1.0	christopher ceded the mansion to the client .	1
dat	1.0	christopher ceded the client the mansion .	0
dat	1.0	jessica granted a plot of land to the client .	1
dat	1.0	jessica granted the client a plot of land .	1
dat	1.0	elizabeth granted the property to the client .	1
dat	1.0	elizabeth granted the client the property .	1
dat	1.0	jason granted the art collection to the client .	1
dat	1.0	jason granted the client the art collection .	0
dat	1.0	jason granted the mansion to the family lawer .	0
dat	1.0	jason granted the family lawer the mansion .	0
dat	1.0	michael allocated a plot of land to the children .	1
dat	1.0	michael allocated the children a plot of land .	1
dat	1.0	jason allocated the property to the children .	1
dat	1.0	jason allocated the children the property .	0
dat	1.0	jessica allocated the art collection to the family lawer .	0
dat	1.0	jessica allocated the family lawer the art collection .	0
dat	1.0	michael allocated the mansion to the client .	1
dat	1.0	michael allocated the client the mansion .	0
dat	1.0	jason forwarded a letter to the recipient .	1
dat	1.0	jason forwarded the recipient a letter .	1
dat	1.0	nicole forwarded a package to the client .	1
dat	1.0	nicole forwarded the client a package .	1
dat	1.0	christopher forwarded an email to the recipient .	1
dat	1.0	christopher forwarded the recipient an email .	1
dat	1.0	elizabeth mailed a letter to the client .	1
dat	1.0	elizabeth mailed the client a letter .	1
dat	1.0	jessica mailed a package to the recipient .	1
dat	1.0	jessica mailed the recipient a package .	1
dat	1.0	jessica mailed an email to the recipient .	1
dat	1.0	jessica mailed the recipient an email .	1
dat	1.0	nicole carried a package to the family .	1
dat	1.0	nicole carried the family a package .	1
dat	1.0	christopher carried the sofa to the family .	1
dat	1.0	christopher carried the family the sofa .	1
dat	1.0	michael carried the bags to the new tenants .	1
dat	1.0	michael carried the new tenants the bags .	0
dat	1.0	nicole schlepped a package to the new tenants .	1
dat	1.0	nicole schlepped the new tenants a package .	0
dat	1.0	jessica schlepped the sofa to the new tenants .	0
dat	1.0	jessica schlepped the new tenants the sofa .	0
dat	1.0	michael schlepped the bags to the new tenants .	1
dat	1.0	michael schlepped the new tenants the bags .	0
dat	1.0	elizabeth lugged a package to the family .	1
dat	1.0	elizabeth lugged the family a package .	1
dat	1.0	jason lugged the sofa to the family .	1
dat	1.0	jason lugged the family the sofa .	1
dat	1.0	nicole lugged the bags to the new tenants .	1
dat	1.0	nicole lugged the new tenants the bags .	0
dat	1.0	elizabeth dragged a package to the family .	1
dat	1.0	elizabeth dragged the family a package .	0
dat	1.0	elizabeth dragged the sofa to the new tenants .	0
dat	1.0	elizabeth dragged the new tenants the sofa .	0
dat	1.0	nicole dragged the bags to the family .	1
dat	1.0	nicole dragged the family the bags .	1
dat	1.0	elizabeth showed a photo to the audience .	1
dat	1.0	elizabeth showed the audience a photo .	1
dat	1.0	christopher showed a new technique to the attendees .	1
dat	1.0	christopher showed the attendees a new technique .	1
dat	1.0	christopher addressed a letter to the recipient .	1
dat	0.0	christopher addressed the recipient a letter .	1
dat	1.0	elizabeth addressed a speech to the audience .	1
dat	0.0	elizabeth addressed the audience a speech .	0
dat	1.0	jason recited a letter to the audience .	1
dat	0.0	jason recited the audience a letter .	1
dat	1.0	nicole recited a speech to the audience .	1
dat	0.0	nicole recited the audience a speech .	1
dat	1.0	jason admitted the crime to the authorities .	1
dat	0.0	jason admitted the authorities the crime .	0
dat	1.0	jessica admitted the error to the authorities .	1
dat	0.0	jessica admitted the authorities the error .	0
dat	1.0	elizabeth confessed the crime to the authorities .	1
dat	0.0	elizabeth confessed the authorities the crime .	1
dat	1.0	christopher confessed the error to the authorities .	1
dat	0.0	christopher confessed the authorities the error .	1
dat	1.0	elizabeth distributed the medications to the children .	1
dat	0.0	elizabeth distributed the children the medications .	1
dat	1.0	christopher distributed the tests to the children .	1
dat	0.0	christopher distributed the children the tests .	1
dat	1.0	christopher administered the medications to the children .	1
dat	0.0	christopher administered the children the medications .	1
dat	1.0	christopher administered the tests to the children .	1
dat	0.0	christopher administered the children the tests .	1
dat	0.0	michael begrudged her success to Alice .	0
dat	1.0	michael begrudged Alice her success .	1
dat	0.0	nicole begrudged her beauty to Alice .	0
dat	1.0	nicole begrudged Alice her beauty .	1
